"tags","paper_count"
"Bioaccumulation; Biochemistry; Genetics","1"
"Life History Trait; Novel Solutions; Bioaccumulation; Biochemistry","1"
"Life History Trait; Novel Solutions; Physiology & Anatomy","1"
"Bioaccumulation; Biochemistry; Genetics; Life History Trait","1"
"Microbiology, Immunology, Ecology","1"
"Biotechnology, Microbiology, Novel Solutions, Economics","1"
"Microbiology, Nutrition, Physiology & Anatomy","1"
"Life History Trait;Microbiology","1"
"Genetics; Health & Safety; Novel Solution","1"
"Biochemistry; Genetics; Physiology & Anatomy","1"
"Life History Trait; Microbiology; Safety & Welfare; Novel Solutions","1"
"Biochemistry; Biotechnology; Genetics; Novel Solutions;","1"
"Life History Trait; Microbiology; Immunology; Biochemistry; Ecology","1"
"Microbiology, Ecology, Biotechnology, Economics","1"
"Microbiology, Genetics, Physiology & Anatomy, E$cology","1"
"Ecology, Microbiology, Novel Solutions","1"
"Life History Trait; Genetics; Safety & Welfare; Novel Solutions; Bioaccumulation","1"
"Genetics; Microbiology; Immunology; Biochemistry; ","1"
"Life History Trait; Genetics; Physiology & Anatomy; Ecology","1"
"Genetics; Immunology; ; Microbiology;","1"
"Biochemistry; Ecology; Life History Trait; Microbiology","1"
"Microbiology, Life History Trait, Physiology & Anatomy, Ecology","1"
"Life History Trait; Genetics; Immunology","1"
"Life History Trait, Biochemistry, Microbiology","1"
"Life History Trait; Immunology; Safety & Welfare; Physiology & Anatomy; Ecology","1"
"Novel Solutions, Economics","1"
"Microbiology, Biotechnology, Biochemistry, Ecology","1"
"Microbioloy, Biotechnology, Economics","1"
"Biotechnology; Microbiology; Immunology; Novel Solutions; Biochemistry","1"
"Ecology; Genetics; Life History Trait;","1"
"Life History Trait; Microbiology; Immunology; Safety & Welfare","1"
"Life History Trait; Microbiology; Physiology & Anatomy; Biochemistry; Ecology","1"
"Microbiology; Novel Solutions; Physiology & Anatomy; Biochemistry","1"
"Life History Trait; Biotechnology; Economics","1"
"Life History Trait; Biotechnology; Novel solutions","1"
"Microiology, Ecology","1"
"Microbiology, Biotechnology, Ecology","1"
"Genetics; Immunology; Life History Trait","1"
"Life History, Microbiology, Ecology","1"
"Life History Trait; Genetics; Microbiology; Safety & Welfare","1"
"Life History Trait; Genetics; Microbiology; Immunology","1"
"Microbioloyg, Ecology","1"
"Life History Trait; Economics; Biochemistry;","1"
"Microbiology, Novel Solutions","1"
"Biotechnology, Novel Solutions, Physiology & Anatomy, Ecology, Microbiology","1"
"Physiology & Anatyomy, Microbiology","1"
"Microbiology, Immunology, Life History Trait, Genetics, Biotechnology","1"
"Microbiology, Genetics, Physiology & Anatomy, Ecology","1"
"Economics; Genetics","1"
"Microbiology, Safety & Welfare, Physiology & Anatomy","1"
"Microbiology; Ecology; Genetics; Immunology","1"
"Microbiology, Biotechnology","1"
"Biochemistry; Genetics; Safety & Welfare","1"
"Microbiology, Physiology & Anatomy, Genetics","1"
"Biotechnology; Genetics; Novel Solutions","1"
"Bioaccumulation, Safety & Welfare, Novel Solutions, Economics","1"
"Biochemistry; Biotechnology; Genetics; Life History Trait; Novel Solutions","1"
"Life History Trait; Biochemistry; Ecology","1"
"Ecology; Genetics; Life History Trait","1"
"Physiology & Anatomy, Microbiology","1"
"Microbiology, Physiology & Anatomy, Ecology, Genetics","1"
"Life History Trait; Immunology; Safety & Welfare; Biochemistry","1"
"Microbiology, Bioaccumulation, Ecology","1"
"Microbiology, Ecology, Physiology & Anatomy, Immunology","1"
"Microbiology, Genetics, Physiology &Anatomy, Biochemistry","1"
"Life History Trait; Safety & Welfare; Novel Solutions; Bioaccumulation; Economics","1"
"Microbiology, Ecology, Physiology & Anatomy, Biochemistry","1"
"Bioaccumulation; Biochemistry; Genetics; Immunology; Physiology & Anatomy; Safety & Welfare","1"
"Microbiology; Immunology; Safety & Welfare; Physiology & Anatomy","1"
"Bioaccumulation; Safety & Welfare","1"
"Microbiology, Ecology, Novel Solutions, Physiology & Anatomy, Safety & Welfare","1"
"Genetics; Life History Trait;Physiology & Anatomy;","1"
"Biochemistry; Genetics; Life History Trait; Microbiology; Physiology & Anatomy","1"
"Microbiology, Safety & Welfare, Novel Solutions, Ecology","1"
"Microbiology, ecology, Bioaccumulation","1"
"Bioaccumulation; Biochemistry; Biotechnology; Life History Trait; Novel Solutions","1"
"Ecology; Immunology","1"
"Life History Trait; Microbiology; Immunology; Safety & Welfare; Novel Solutions; Ecology","1"
"Biochemistry; Biotechnology; Genetics; Life History Trait; Physiology & Anatom/y","1"
"Life History Trait; Genetics; Ecology","1"
"Life History Trait; Microbiology; Immunology; Economics; Biochemistry","1"
"Genetics; Immunology; Life History Trait; Safety & Welfare","1"
"Bioaccumulation; Biochemistry; Biotechnology; Ecology; Economics; Genetics; Immunology; Life History Trait; Microbiology; Novel Solutions; Physiology & Anatomy; Safety & Welfare","1"
"Microbiology, Biotechnology, Physiology & Anatomy","1"
"Life History Trait;  Safety & Welfare;  Bioaccumulation","1"
"Microbiology, Genetics, Biotechnology","1"
"Biotechnology, Ecology","1"
"Life History Trait;Physiology & Anatomy","1"
"Biotechnology, Microbiology, Novel Solutions, Economics, Bioaccumulation","1"
"Ecology; Genetics; Immunology; Life History Trait;","1"
"Microbiology, Ecology, Physiology & Anatomy, Biotechnology","1"
"Microbiology; Immunology; Safety & Welfare; Physiology & Anatomy; Ecology","1"
"Bioaccumulation; Novel Solutions;","1"
"Microbioloy, Phsiolooy & Anatomy","1"
"Microbiology, Physiology & Anatomy, Economics, Ecology, Safety & Welfare","1"
"Biochemistry; Genetics; Immunology; Microbiology; Physiology & Anatomy","1"
"Microbiology, Immunology, Novel Solutions","1"
"Genetics; Microbiology;","1"
"Genetics; Life History Trait; Novel Solutions; Physiology & Anatomy","1"
"Life History Trait; Biotechnology; Safety & Welfare; Novel Solutions; Economics;","1"
"Life History Trait; Novel Solutions; Physiology & Anatomy;","1"
"Genetics; Novel Solutions;","1"
"Biotechnology, Microbiology, Safety & Welfare, Economics, Novel Solutions","1"
"Microbiology, Genetics, Biochemistry","1"
"Microbiology, Immunology, Life History Trait, Biotechnology","1"
"Life History Trait; Genetics; Biotechnology; Microbiology; Immunology; Safety & Welfare; Novel Solutions; Bioaccumulation; Economics; Physiology & Anatomy; Biochemistry; Ecology","1"
"Biotechnology, Economics, Novel Solutions, Ecology, Physiology & Anatomy, Biochemistry","1"
"Life History, Microbiology, Physiology & Anatomy","1"
"Life History Trait; Microbiology;Physiology & Anatomy; Biochemistry","1"
"Ecology, Genetics, Novel Solutions","1"
"Safety & Welfare","1"
"Economics","1"
"Microbiology, Genetics, Biotechnology, Biochemistry","1"
"Microbiology, Ecology, Genetics, Physiology & Anatomy, Novel Solutions","1"
"Genetics, Microbiolooy","1"
"Biotechnology, Microbiology","1"
"Biotechnology; Microbiology; Immunology; Novel Solutions; Bioaccumulation; Biochemistry; Ecology","1"
"Biochemistry; Genetics; Immunology","1"
"Microbiology, Phsiology & Anatomy","1"
"Microbiology, Physiology & Anatomy, Novel Solutions, Ecology","1"
"Genetics; Immunology; Safety & Welfare","1"
"Biochemistry; Ecology; Genetics; Life History Trait","1"
"Microbiology, Safety & Welfare, Ecology","1"
"Economics; Genetics; Safety & Welfare","1"
"Microbiology, Ecology, Genetics","1"
"Ecology, Life History","1"
"Microbiology, Ecology, Biotechnology","1"
"Life History Trait; Safety & welfare","1"
"Life History Trait; Genetics;Microbiology; Biotechnology; Novel Solutions","1"
"Microbiolgy, Genetics","1"
"Life History Trait, Microbiology, Physiology & Anatomy, Biochemistry, Economics","1"
"Genetics, Microbiology","1"
"Life History Trait; Immunology; Microbiology","1"
"Microbiology, Physiology & Anatomy, Genetics, Ecology","1"
"Genetics; Biotechnology; Microbiology; Immunology; Biochemistry","1"
"Genetics; Immunology; Microbiology; Novel Solutions;","1"
"Life History Trait; Novel Solutions; Biochemistry","1"
"Biochemistry; Biotechnology; Genetics; Immunology","1"
"Life History Trait;Biochemistry","1"
"Life History Trait;Microbiology; Immunology; Safety & Welfare","1"
"Genetics; Novel Solution","1"
"Life History Trait; Safety & Welfare; Novel Solutions","1"
"Microbiology, Ecology, Physiology & Anatomy, Life History Trait, Safety & Welfare","1"
"Physiology & Anatomy, Microbiology, Ecology","1"
"Bioaccumulation; Genetics; Immunology; Safety & Welfare","1"
"Biotechnology, Physiology & Anatomy, Microbiology","1"
"Biotechnology, Microbiology, Novel Solutions, Bioaccumulation","1"
"Life History Trait; Genetics; Novel Solutions; Physiology & Anatomy; Biochemistry; Ecology","1"
"Bioaccumulation; Biochemistry; Physiology & Anatomy; Safety & Welfare","1"
"Microbiology, Genetics, Physiology & Anatomy, Biotechnology","1"
"Microbiology, Immunology","1"
"Physiology & Anatomy, Novel Solutions, Physiology & Anatomy","1"
"Safety & Welfare, Economics","1"
"Genetics, Physiology & Anatomy, Novel Solutions, Economics","1"
"Microbiology, Ecology, Physiology & Anatomy, Genetics, Biochemistry","1"
"Genetics, Biotechnology, Ecology, Physiology & Anatomy, Biochemistry","1"
"Microbiology, Physiology & Anatomy, Immunology","1"
"Physiology & Anatomy; Biochemistry","1"
"Life History, Microbiology","1"
"Life History Trait; Microbiology; Immunology; Physiology & Anatomy; Biochemistry; Ecology","1"
"Microbiology, Immunology, Biotechnology, Economics","1"
"Physiology & Anatomy, Ecomics","1"
"Life History Trait; Microbiology; Immunology; Biochemistry","1"
"Microbiology, Novel Solution","1"
"Life History Trait; Biotechnology; Microbiology; Immunology","1"
"Life History Trait; Microbiology; Immunology; Economics","1"
"Microbiology, Nutrition, Ecology, Physiology & Anatomy","1"
"Ecology; Genetics; Novel Solutions;","1"
"Life History Trait, Microbiology, Safety & Welfare, Novel Solutions, Economics, Physiology & Anatomy, Bbiochemistry, Ecology","1"
"Life History Trait; Physiology & Anatomy","1"
