"keywords","paper_count"
"plant domestication; gene expression regulation; population bottleneck; phenotypic plasticity; environmental change; network topology; artificial selection; individual-based simulations; population genetics; genetic correlations","1"
"chemoreception; gustation; sensilla; nutrient sensing; glucose-aversion","1"
"Hermetia illucens; Phylogeny; Mitochondrial genome; Phylogeography","1"
"Genotype-genotype; Peritrophic membrane; Social insects","1"
"Experimental evolution; Lifespan; Reproduction; Trade-off; Tephritidae","1"
"behaviour; biodiversity; donor populations; Drosophila melanogaster; fitness; genetic rescue; genetic variation; inbreeding depression; negative geotaxis; population fragmentation","1"
"autofluorescence; bioreactors; silkworms; therapeutic proteins; transgenic modifications.","1"
"ight pollution; artificial light at night; ALAN; insects; circadian rhythm; extracellular RNA","1"
"Bioconversion; Sustainable agriculture; Breeding; Adaptive plasticity; Entomophagy; Microbiome; Industrial entomology; Organic residues; Food waste","1"
"Edible insects; qPCR; Fish feed; Tetracyclines; Aquaculture","1"
"black soldier fly; artificial selection; genetic improvement; body weight; insect farming industry","1"
"adaptive potential; climatic shifts; deforestation; ecosystem change; genomic architecture; human-driven evolution; standing genetic variation.","1"
"insect rearing; biomass production; food conversion; insects as feed and food; fecundity","1"
"laboratory adaptation, domestication, insect, evolutionary rate","1"
"admixture, conservation genetics, genetic diversity, invasive species, re-introductions","1"
"Municipal sewage sludge, Black soldier fly, Combined heavy metals","1"
"Drosophila melanogaster . Cadmium .Metallothionein . Heavy metal resistance . Accumulation","1"
"JUVENILE-HORMONE; BIOSYNTHESIS; ECDYSIS-TRIGGERING; HORMONE; ADIPOKINETIC HORMONE; SPODOPTERA-FRUGIPERDA; SCHISTOCERCA-GREGARIA; OVARIAN DEVELOPMENT; CORPORA ALLATA; NEUROPEPTIDE F; EGG-PRODUCTION; DESERT LOCUST","1"
"central nervous system; insect; functional differentiation; gene expression; differential display polymerase chain reaction","1"
"Silkworm; Cecropin B; Overexpression; Transgenic; Disease resistance","1"
"Taste; Natural population; Homeostasis; Nutrition; Feeding behaviour; Genomics","1"
"Black soldier fly; Antimicrobial peptide; Novel defensin gene; Antimicrobial activity","1"
"Genomic cloning; genetic engineering; insect biotechnology; recombinant proteins; sex control; silk","1"
"Metal-responsive transcription factor-1, Drosophila, Metallothioneins,T ranscriptional regulation, Heavy metal homeostasis","1"
"insect immunity; neuro-immunity; housekeeping genes; normalization; variability; transcription","1"
"black soldier fly; next generation sequencing; expression analysis; VOCs; OBPs; molecular docking","1"
"Metallothioneins Mtns Drosophila melanogaster Metal toxicity MTF-1 Protein-protein interactions","1"
"Agasicles hygrophila; Dichaete; oogenesis; Sox3","1"
"Silkworm; Black soldier fly; Antimicrobial peptide; Entomopathogenic bacteria resistance","1"
"Ovary development; Oogenesis; Transcriptome analysis; Reproductive regulation; Plutella xylostella","1"
"genomics; innate immunity; Lepidoptera; microevolutionary dynamics; selection dynamics","1"
"Black soldier flyMetallothioneinsCadmium (Cd) accumulationCd detoxification","1"
"Bombyx mori; pathogen; transgenic technology; gene editing; CRISPR system","1"
"clock genes; oogenesis; fertility; fecundity; Clock; cycle","1"
"insect immunity; antimicrobial peptide; trans-species polymorphism; balancing selection; convergent evolution","1"
"Aug21-Gal4; Antennal lobe intemeurons; Male-male courtship; Olfactory processing; Chemosensation","1"
"Bactrocera dorsalis; RNAi; detoxification; digestion; midgut","1"
"Pirata subpiraticus, Cadmium, Cry1Ab protein, Transcriptome, Gene regulation, Cuticle protein","1"
"Hermetia illucens; antibiotic resistance genes; rearing substrates; microalgae; coffee silverskin; frass","1"
"Transposable elements; Evolutionary dynamics; Domestication; Weak selection; Silkworm","1"
"microRNAs; Tribolium castaneum; metamorphosis; wing development","1"
"Domesticated traits; Epigenetic modifying enzymes; Selective sweeping; BmSuv4–20; BmDNMT2; Reproduction; Silkworm","1"
"Danger; Coenagrion puella; Injury; Homeostasis; RNAseq","1"
"Bactrocera dorsalis; transcriptome; ovary development; gene expression; Nanos gene","1"
"yellow mealworm; black soldier fly; BSF; honey bee; silkworm; crickets; genetic selection; genomics","1"
