"iab_relevance","paper_count"
"Further research can be done to determine how to make pulp and paper waste a viable feeding substrate for BSFL.","2"
"More research needs to be conducted on insect sentience, along with optimal nutritional targets for mass reared insects to reduce harm done throughout the rearing process, especially when reared on waste streams.","1"
"Conducting a similar study with BSF in response to natural light,for instance, could help elucidate the molecular basis behind their mating preferences.","1"
"This offers a new stream in which we can turn puparia waste into a valuable, high nitrogen material. This would produce a non-toxic biochar which could improve plant growth and soil invertebrates.","1"
"May want to investigate the roll which yeast (easily culturable) volatiles can play in modulating insect population behavior. Could be a good way to increase pollinating behavior in some insects.","1"
"One way of managing the nutrient profile of black soldier fly (fat, protein, micronutrient content) is by changing the rearing diet. In some cases, though, optimal substrate may either be unavailable, because they are feeding on waste, or less economical to source. Another approach is to directly affect how insects produce, store, and metabolize industrially useful nutrients. Drosophila (fruit fly) females tend to store more fat than males. This paper argues that the sex-determination gene transformer is the reason. It may be possible to manipulate the activity of this pathway to create insects with different fat contents, all without changing their food source.","1"
"Speciation describes the process by which new species emerge. A single species develops reproductively isolated subpopulations, genetic differences build up between the two populations, and they eventually break off into separate species. Researchers don’t fully understand this process. Are there a few special places in a genome that make two different strains incompatible (islands of speciation model)? Maybe a lot of small, random changes build up over time instead. This is an important question to answer, given that commercial insects are often separated from their wild counterparts and exposed to strong artificial selection. At some point, domesticated insects will no longer be able to cross with the wild. Individual productions strains may similarly have trouble breeding with each other. This paper identifies a region of the X chromosome that might be responsible for incompatibility between two closely related cricket species. This is information that could be used to measure strain compatibility or warn of gene regions (and the traits they affect) that won’t mix during outbreeding.","1"
"Previous research on black soldier fly population genetics has shown that most commercial strains are highly similar too each other and possess a low level of diversity. The same study showed evidence of low-diversity escaped BSF at least 6 miles from production facilities. It is unclear what negative affects commercial strains will have on the surrounding ecosystem, but many invasive species start with human introduction. Will escaped domesticated BSF hybridize with wild populations and cause problems for humans and local wildlife? Will the constant flow of low-diversity genetic stock from rearing facilities reduce fitness for wild BSF? The answer is unclear and could be one barrier (from a regulatory point of view) to the introduction of commercial insects in some regions. This paper shows one example of a commercial species (domesticated chicken) negatively impacting their wild counterparts.","1"
"More research needs to be conducted to determine optimal substrate textures and digestibility for bsf larvae to increase production","1"
"Antimicrobial peptides (AMPs) have been known since the early 1980s and the Cecropin class of AMPs were among the first to be isolated. Bioinformatic approaches have had success in mining insect genomes, producing real and synthetic AMPs, and testing them against pathogens, but functional validation of these genes used to be hampered by technological limitations. The authors use CRISPR/Cas9 technology to build mutant Drosophila (fruit fly) lines without working Cecropin genes and observe their function in pathogen defense. These proteins seem to be effective against fungi and a few gram-negative bacteria, possibly as an early response to infection. The black soldier fly has 34 Cecropins in the genomic resource database (GRD), 33 of which are on the (putative) domestication-associated Chromosome 5. These are goods target for follow up analyses, either internally through project 2 functional validations or outside the center.","1"
"This research suggests increased gut health in trout fed feed containing BSF. Additionally, the finding that insect life stage can effect gut bacteria composition can inform future research relating to BSF feed in aquaculture.","1"
"This study highlighted the significance of using insect protein in young broilers, as it could help with nutrient utilization and reduce oxidative stress. More research needs to be conducted on the mechanisms behind this.","1"
"Full fat larvae have been shown in other studies to be less digestible due to the fat, however this study showed that defatted BSFL were suitable up to 40%. More research can look into even higher substitiutions of defatted larvae, along with testing other insects as a replacement.","1"
"This study has significance for insect rearers as it provides new insights into the establishment of Leishmania donovani infections, which are transmitted by phlebotomine sand flies. The study shows that gut microbes from the sand fly, which are egested into the host skin alongside the parasites, play an important role in the establishment of these infections. The study suggests that reducing midgut microbiota by pretreatment of infected sand flies with antibiotics or neutralizing the effect of interleukin-1b in bitten mice could abrogate neutrophil recruitment and impair parasite visceralization. Understanding the role of gut microbes in vector-borne diseases could inform the development of new strategies to control insect-borne diseases.","1"
"House fly larvae could be used as a feed, however more research needs to be done to optimize a larval meal to meet all nutritional requirements of the prawns, and to find out why growth decreased in this study.","1"
"More research needs to be done in the area of LAB, which can potentially be used as probiotics.","1"
"The methodology here could be applied to other insect communities to determine how their thermal tolerance at different life stages can be affected by their microclimates.","1"
"All diets aside from WS100 performed very similarily, and showed that mealworms can be fed these agricultural residues. Wheat bran diets tended to outperform the other diets. Willowlead sunfloewer residues are not recommended for a feed ingredient for mealworms.","1"
"BSF protein significantly enhanced palatability and immune function for these dogs, and was found to be optimal at the 15% inclusion, however that was the highest they had tested, so more research can go into higher inclusion levels to determine an actual optimal level.","1"
"May want to evaluate if these findings are the same for laying hens or if the same is true for other livestock varieties. The benefits of including insect meal may have an infection point. Could insect probiotics change the course of this data?","1"
"Though larval crowding can increase development rates, it can have negative effects on health in mass rearing. ","1"
"nsect behavior is guided by odor cues. It affects everything from mating to diet preference. Olfaction (smelling) involves many receptors, transport proteins, and associated neurons, which means that the metabolic cost of odor sensitivity can be high. Like with most expensive traits, they tend to build up mutations when selection stops favoring them so strongly. The controlled environment of mass rearing has a less complex odor profile, and food/mates are often a few centimeters away, so domestication is likely to result in insects with much different (probably less sensitive) odor detection systems. Studying domestication related olfactory changes can be useful for building fundamental knowledge. Perhaps we can engineer a line of insects that become ravenous when they smell a particular kind of waste. Or maybe an insect can be engineered to mate only when a particular odor enters its containers, allowing for precise life cycle control. This paper describes the UGT36E1 gene and how it affects the ability of a fly to smell the difference between a male and a female. Manipulation of this gene, and genes like it, could be a step towards using odor cues to separate out males and females in colony.","1"
"Lower protein diets still had high survivorship, but growth was limited possibly due to a protein deficiency. Some fruit by-products may not be suitable as a rearing substrate as a mono-stream.","1"
"Oxygen content during development may not have a large impact on larval health, but could impact adult performance. ","1"
"For insect producers, this study offers valuable insights into the interactions between disease-causing parasites and the microbiota within insect vectors. Understanding how pathogens influence the insect's microbiome can have implications for disease transmission and vector control strategies. The findings also underscore the importance of considering the microbiome in insect health and vector competence. Such knowledge can aid producers in developing more targeted and effective approaches to managing vector-borne diseases and controlling insect populations.","1"
"Insect behavior is complex. Environmental stimuli can result in the coordination of many organs and the differential activation of thousands of genes. For example, the reflection of light against a wing can induce chasing, foreleg tapping, and mounting. The same is true for many other biological responses. Low blood sugar encourages humans to seek out food, results in increased irritability, and promotes the breakdown of body fat and glycogen reserves. Ultimately, though, many of these pathways are beholden to one or a few master regulators (I.e insulin in human sugar response). This paper discusses the Tyrosine hydroxylase gene, which affects dopamine levels. Domesticated silkworms have been selected for decreased foraging and climbing behavior and research has shown that these individuals have significantly lower dopamine than their wild counterparts. This is probably due to changes in a gene (Met1) that regulates Tyrosine hydroxylase. Rather than wait 6000 years for crickets to adapt, like the ancient silkworm industry, it may be possible to directly manipulate dopamine signaling to reduce escape behavior and aggression.","1"
"Artificial selection is a powerful tool to alter an organism, but it comes with some challenges. Some traits are easy to measure, like body size or growth time, but even these “simple” traits are built upon many interacting proteins. To complicate the problem, many genes are passed on through mixing chunks of DNA (recombination). If one selects strongly for a gene involved in egg laying, they might also get a hitchhiking gene variant with reduced disease tolerance, simply because the two genes are close together on the DNA strand. This is why insect breeding must be done with more care than picking out the fastest growing larvae. This paper shows both how artificial selection can be used to increase fertility and also some pitfalls to avoid when designing a selection program.","1"
"There were some minor differences in digestibility when looking at the difference between in vivo and in vitro methods. This paper also did not look at other development parameters.","1"
"This study showed that adding BSF meal to the diet increased fish weight, and adding butyric also increased fish health. We can further look into specific inclusion levels of this acid to optimize this response.","1"
"Silkworms were first domesticated thousands of years ago, before the founding of Rome and the Great Wall of China. Modern insect agriculturists have much to gain from observation of well tested sericulture practices (silkworm breeding). Modern silk production offers interesting insights too. Genetically modified silkworms have produced multicolored or glowing silk. They are being explored for mass production of collagen, amino acids, and bioactive compounds. The authors of this paper describe a commercial species called the Chinese oak silkworm. It is resistant to the coumaphos pesticide that is sprayed to suppress silkworm parasites, but the exact mechanism behind this tolerance was unclear. Pesticide resistance is important to pre-consumer waste recycling insects, like the “big three” black soldier fly, mealworm, and crickets, which might be exposed to any number of treatments. Flies (black soldier fly), beetles (mealworm), and crickets all contain pest species, which creates incentive to study these pathways. It is possible that pesticide resistance research, if the relevant genes are defined, will translate to greater fitness and waste source options in the big three recyclers.","1"
"Fat quantity and quality are important factors in the diet of BSF larvae, and need to be taken into account with the preferred outcome of the larval composition.","1"
"Plant-based dietary supplements included in a wheat bran diet have positive affects on mealworm weight gain and don't alter the proximate composition of the larvae. This can shorten harvesting time for industry. It would be interesting to look at more decomposed plant materials to show they can help reduce food waste.","1"
"This research could inform future projects investigationg the role of Orokinins in BSF. If this neuropeptide regulates reproduction in BSF as it does in Drosophila, it could be an important gene in terms of understanding, selecting, or modifying populations for increased reproductive success in captivity.","1"
"This review contains excellent information on the nutritive value of insects as a pet food ingredient, while also discussing probelmatic areas such as possible allergen hazards and public perception","1"
"Chitin is a major component of the insect cuticle, which is responsible for how tough and flexible their exoskeleton is. The cuticle also protects the insect from desiccation (drying out) and disease. Genes involved in chitin synthesis are critical for development, but they aren’t well understood in the mealworm (Tenebrio molitor). Researching how chitin production is regulated and expressed is a key part of maintaining the health of future stock. This paper details the kinds of genes that are expressed in the developing mealworm, and when they are active. The transcriptomic information provided by this paper can be exploited in future genetics studies, since mealworms respond to RNA interference (RNAi) techniques. It is possible to temporarily silence gene expression, using RNAi, and see how it alters development, which will guide breeding programs. This information is also transferable to other insects. Perhaps by targeting one of the chitin genes related to wing development, one can create flightless BSF.","1"
"Most of the costs associated with the genomic resource database project, after grad student tuition and pay, were from sequencing. This is because the best bioinformatic analysis tools happen to be free and open source. Data acquisition can be expensive, though. For example, the collection of native BSF was a project to itself that require international travel and several weeks of field work. Then, DNA must be extracted, processed, and sequenced. Human genome wide association studies have anywhere between several thousand and several hundred thousand samples and the 1000 Genomes project conservatively cost more than 30 million USD. The insect agriculture sector is unlikely to match this scale for any single species or study. It is important to determine the smallest number of samples needed to get reliable results. Fortunately, based on this paper, measurements of genetic differentiation can found with 4-6 samples under the right conditions.","1"
"This study used E. faecalis as one of the bacteria, which should be noted is commonly found within the GI tract of humans and is a commensal bacteria. S. enterica is virulent, and is used as the second bacteria within the study.","1"
"Coffee is a growing industry and makes up a significant portion of post consumer food wastes. Caffeine may pose a threat to insect colonies reared on post-consumer food waste or pre-consumer foo waste containing coffee grounds. May want to consider probiotics as a way to protect insects from caffeine toxins. May want to investigate the ability of insects to break down other alkaloid toxins.","1"
"This study showed that the use of vegetable and butcher waste did not pose a threat to the larvae accumulating toxic or harmful elements, and was a viable source as a feed ingredient.","1"
"The silkworm has been successfully domesticated for thousands of years. It represents a good model for understanding how commercial rearing affects insects on a behavioral and genetic level. Some traits are highly useful in the wild, like predator defense mechanisms, but aren’t worth the cost in controlled environments. The domesticated silkworm, for example, doesn’t need to mimic branches to hide from predators. Humans rear them indoors and watch out for pests in the facilities. The problem is that domestication can also lead to loss of other useful traits, like cold tolerance or pathogen resistance. Understanding which genes are under selection by domestication will help IAB members maintain the fitness and health of their insects, without spending a lot of resources on environmental controls like heating or cooling.","1"
"May want to consider that fish fed the insect meal diet showed a lower microbial diversity in the digesta but increased diversity in the mucosa. The microbiome of the fish on the insect diet were similar to the microbial profile of the feeds but not the water. This could be a way to not only modulate the intestinal microbiome but to also temper the effects of pathogens historically spread in the water in aquaculture farms.","1"
"Reporter genes are an important part of developing genetic modification protocols. Visually obvious traits like color change are markers that show you’ve integrated the gene into your target organism. You can see when and where a gene is being expressed without grinding them up for RNA extraction. The authors of this paper knock out the Hiwhite gene to confirm that, like the white Drosophila homolog, this gene is important for eye color. They demonstrate how one can go about successfully using CRISPR/Cas to introduce foreign DNA into the black soldier fly. This information will help guide future GMO study designs, which are already in progress for the genomic resource database (GRD) at the time of writing.","1"
"This review is highly relevant to insect producers engaged in disease management and biocontrol strategies, specifically concerning Aedes mosquitoes and arboviral diseases. It emphasizes the pivotal role of Aedes aegypti and Aedes albopictus as primary disease vectors and the global health threats posed by diseases like dengue, chikungunya, and Zika. Understanding the microbiota-virome interplay within these mosquitoes holds promise for devising effective control measures against emerging arboviruses. The insights into the impact of resident microorganisms on vectorial competence and their ability to modify arboviral life cycles offer valuable avenues for insect producers to explore targeted biocontrol strategies aimed at managing disease transmission by these vectors. The review underscores the significance of comprehending the microbiota-virome dynamics in Aedes mosquitoes, presenting potential implications for insect producers involved in biocontrol and disease prevention efforts against arboviral diseases.","1"
"All 4 insects can be reared on food by-products, however the roaches and BSF were able to use them all more efficiently compared to the mealworms and crickets. More research needs to go into proper combinations of these by-products to optimize rearing.","1"
"Research needs to go into looking at the natural BSF populations in these areas, along with what each islands waste streams are made of to be a suitable rearing substrate for BSF.","1"
"This showed that bsf can be used as a fishmeal replacement for the diets of freshwater turtles, however more inclusion rates should be tested in further trials, as well as fully defatting and non-defatted larvae to determine impacts.","1"
"The relevance of this study for insect growers is that it provides insights into the potential for precision breeding and feeding schemes to optimize the production of black soldier flies (BSF), which can be used to convert organic waste into valuable insect protein as an alternative animal feed ingredient. The study shows that matching BSF genetics to dietary contexts is vital for purposive production optimization, particularly when extrapolated to large-scale operations. Therefore, establishing tailored BSF breeding as an independent branch offers veritable opportunities to efficiently support this growing agricultural sector.","1"
"Silkworms have been selectively bred for many centuries. Many problems currently faced in commercial insect rearing were encountered before the founding of Rome, the Great Wall of China, and the construction of ancient Egyptian pyramids. Silkworms are a good resource for tried-and-true practices, based on this history, but the modern techniques explored in the silkworm industry are also highly transferrable to food/feed insects. Genetic modification through transposons (mobile gene elements) is one such technique. The authors of this paper use genetic modification to artificially increase the disease resistance of their strain, by increasing the expression of cecropin B (an antimicrobial peptide).","1"
"This paper gives interesting insight into the mechanism by which BSF can adapt to different food substrates.","1"
"Food safety measures are a major issue in using BSF larvae as a feed ingredient when grown on waste streams that may be contaminated. Research needs to go into different processing metthods of the larvae to rid them of any lingering bacteria.","1"
"Selectively breeding for larger insects may assist in rearing them in higher-temperature environments.","1"
"Kissing bugs are known as vectors of Trypanosoma cruzi, which causes Chagas’ disease. Despite their high epidemiological relevance, their biology and bacterial symbiosis remain poorly understood. This study investigated the host-microbiome relationship of five Triatoma species and applied 16S rRNA gene metabarcoding to obtain a more comprehensive view of triatomine microbiomes. The study found that triatomine gut microbiome composition is strongly influenced by ontogeny, species identity, and the environment. The microbiomes are characterised by a significant loss in bacterial diversity throughout ontogenetic development. The bacterial genus Dietzia dominates late-stage nymphs and adults of some Triatoma species. Species-specific microbiome composition, particularly pronounced in early instars, is further modulated by locality-specific effects. The study is the first to demonstrate deterministic patterns in microbiome composition among all life stages and multiple Triatoma species, highlighting the complexity of Triatominae symbiosis with bacteria.","1"
"Understanding the complex interactions between fungi and insects can have practical applications for insect growers. For example, the use of yeasts as a food source for insect rearing, or the manipulation of symbiotic relationships to control insect pests. Additionally, understanding the evolutionary history of these symbioses may provide insights into the development of novel biotechnological applications.","1"
"This review explores the holobiont concept in the context of mosquito-associated microbial communities and their significance in vector biology and pathogen transmission. While the holobiont concept initially emerged in coral ecosystems, its extension to various organisms, including insects, particularly haematophagous vectors like mosquitoes, remains relatively unexplored. Mosquitoes pose a significant global health threat due to the rise in mosquito-borne diseases, prompting increased research on both the mosquito host and its associated microbiota. Although many studies in this area have been descriptive, they have provided valuable insights into the diverse bacterial communities hosted by mosquito populations. The review highlights recent advancements in understanding mosquito microbiota, including the functional roles of microbiota and their interactions with host biology and disease transmission. By considering the ecology of multipartite interactions, the review suggests that defining mosquitoes and their microbiota as a holobiont could offer a comprehensive understanding of the vector pathosystem, aiding in the development of novel and effective vector control strategies.","1"
"This paper has implications with respect to insect agriculture as it provides a potential rational for separating out older males from viable females in agricultural settings, though additional research would have to be done for the organisms of interest.","1"
"More studies should go into looking at inclusion rates for the bsf oil, as those have been limited.","1"
"The addition of Lactobacillus microbes within the rearing substrate of BSF has been shown to improve immunity parameters. This can be looked at in other model systems.","1"
"This study focuses on the microbiomes within colonies of Trachymyrmex septentrionalis fungus-growing ants across various geographic regions and castes. The research uncovered that worker ants maintain a consistent microbiome across colonies, with more similarity within colonies than between them. A more extensive analysis involving all available castes in two colonies, before and after adapting to laboratory conditions, revealed that microbiomes differed significantly between colonies, castes, and rearing conditions. Notably, Tenericute bacterial symbionts showed substantial variation in abundance across these ant microbiomes. The findings highlight that individual colonies significantly influence microbiome composition, while differences in castes and environmental conditions further shape these microbiomes. This study offers insights into microbiome assembly within social insects like T. septentrionalis, emphasizing the impact of colony, caste, and lab adaptation on microbiome diversity and function. It cautions against limited sampling in comprehending the diversity and functionality of microbiomes, especially in social insect colonies, underscoring the unique nature of individuality in their microbiomes.","1"
"For insect growers, this study carries important implications as it challenges conventional assumptions about the beneficial role of the bacterium Lactobacillus plantarum. The surprising discovery that L. plantarum can shorten the lifespan of Drosophila melanogaster by affecting stem cell activity in the gut highlights the complexity of host-microbe interactions. These findings underscore the necessity for a nuanced understanding of the effects of gut microbes on insect health, which can be influenced by factors like age, genetics, bacterial strains, and diet. The study also reinforces the value of Drosophila as a model system for investigating the intricate dynamics of probiotics, providing insights that could guide more targeted and effective strategies for insect health and pest management.","1"
"There were minor effects on growth performance at the highest inclusion rate of BSFL, but these were full-fat larvae. Results could very much differ with defatted larvae. Chitin is mentioned as well, where it can also effect growth performance. Chitin content increases as a larvae ages, so this is something to consider with harvest time.","1"
"Though mealworm farmers likely will not purposfully introduce Buevaria bassiana to their colonies, understanding how this pathogen effects mealworms could help to identify the pathogen. ASdditionally methods layed out in this paper could aid in the develpment of similar expreiments in an R&D setting. ","1"
"The genetic landscape of the Black Soldier Fly (BSF) is poorly described in literature. Even with the recent boom of scientific interest; most studies concern feed trials, microbial interactions, and nutritional/chemical profiles. This paper shows the wide level of diversity present in BSF across the planet. IAB can leverage variation between known lab/industrial strains and (as of now) uncharacterized wild populations to introduce new functions (like improved resistance to a particular environmental stress) into their BSF lines.","1"
"The tomato was already pretty well domesticated by the time it was introduced to Europe in the 1500s. Modern farming imposed further strong selection on useful traits like seed size, shape, and disease resistance. The downside to this method is that you are limiting genetic diversity (and available traits) to the handful of phenotypes that are observable. As in tomato cultivation, inbreeding and selection among mass-reared insects such as BSF can narrow genetic diversity, posing challenges for their improvement. The creation of a pan-genome, which captures a wide spectrum of genetic variants from diverse wild populations, can aid in the identification of essential genes for targeted breeding or genetic modification projects. Such an approach can help reveal genes related to crucial traits like disease resistance, potentially enhancing the resilience and productivity of commercial BSF strains. This paper demonstrates how pangenomic studies, which have been cheaper in recent years, can identify lost traits like flavor and resistance to certain pathogens.","1"
"BSF larvae have been shown to accumulate some heavy metals, however more research needs to be done into how this increase of metals will affect livestock if used as a feed ingredient.","1"
"The wild cabbage is a famous example of the drastic changes that domestication can exert on an orgasm. Kale, Broccoli, Collard greens, cabbages, and Brussel sprouts are among the many cultivars that remain a single species with morphological differences brought upon by artificial selection. Insect agriculture species perform well but, like the wild cabbage, they have potential for improvement and specialization. These adaptations can develop without deliberate selection. For example, in isolated BSF exclusively reared on banana peels or those regularly exposed to ambient temperatures exceeding 40 Celsius. Many of these changes are brought on by structural variations (SVs), where sections of a chromosome are duplicated, lost, or inverted. This paper is a large scale pangenomic study that tracks SVs across different cabbage cultivars, showing how they were critical in developing the traits that made each plant strain commercially successful. A similar undertaking with insect agriculture species would incur high sequences costs, but it would reveal much about the nature of domestication and how it can be leveraged to improve stock.","1"
"May want to investigate the possibility of modulating the microbiome of the black soldier fly and using the whole larvae as a probiotic for the chicken.","1"
" BSF overexpress Lysozyme C in low protein environments. Understanding the bacteriolytic role of this ensyme could prove cruciul to uncovering the biological rational behind this phenomenom. Especially as it relates to bacterial digestion. ","1"
"This paper provides a framework for studies investigating the role of different rhodopsins in BSF or other farmed insects. This type of research could prove particularly relevant to BSF considering how vital of a role light plays in their mating system. Discerning the mechanism behind photoreception in BSF could help to further our ability to optimize BSF mating under artificial light.","1"
"Many discussions on the topic of black soldier fly nutrition come from the perspective of identifying an optimal substrate profile in order to maximize performance. In many cases, such as BSF reared on waste streams, an idealized diet may not be achievable. Another route is to adapt the organism to an economically viable food source, either through breeding or direct genetic modification. The insulin-like receptor pathway is associated with growth and response to nutrition. This paper shows how specific insulin like peptides affect Drosophila melanogaster’s (fruit fly) appetite based on the kind of carbohydrate it is fed. Modification of genes in this pathway may make a particular food source more appealing to BSF.","1"
"The study on the impact of antibiotics on the gut microbiome of Galleria mellonella larvae offers insights into how antibiotic exposure affects microbial diversity and tetracycline-resistance genes in insects. This information might be relevant for insect growers interested in understanding antibiotic effects on insect gut microbiomes in rearing conditions.","1"
"Domestication leads to changes, deliberate and accidental, to an organism’s genome. The sampling of a small number of organisms for mass rearing creates population bottlenecks that reduce population diversity. Humans often impose environmental conditions that are drastically different from the wild, which further limits available genetic material as selection favors a narrow set of traits. The silkworm is arguably the only fully domesticated insect species, so the industry is a good resource to understand what domestication might look like for newly added species. Domestication related behavioral changes are common across the animal kingdom. For example, commercial silkworms have an absent or suppressed climbing instinct, which makes them easier to handle in mass rearing. The authors of this paper investigate Met1, which may be acted on by human selection to drive behavior changes.","1"
"While this study shows that a 50% inclusion of mealworm to crayfish diets can be very beneficial, there needs to be more research at different inclusion rates. They only tried 50% and 100%, it would be beneficial to find the max inclusion rate.","1"
"Increasing research into how insects adapt to heat will assist in adjusting mass rearing methods with climate change. ","1"
"There is a lot of variation between commercial lines of mealworms in terms of traits like growth performance, development time, and food conversion efficiency. The insect industry, in general, is lacking information about genotype-phenotype relationships. The mealworm is no exception. Unlike BSF, it lacks a high-quality public genome. It is also evolutionarily separated from the model organism Drosophila (fruit fly), which is a useful starting point for functional genetics, by hundreds of millions of years. If we can’t learn about mealworm genes by comparing them to other species, one way to start is parent-offspring regression. It is a process that calculates how closely related a parent is with a child, which helps scientists determine how much genetics is involved in a trait. Studies like this paper reveal which traits are heritable, and therefore good targets for artificial selection, and which traits we should modify through environmental changes like diet.","1"
"Understanding the degree to which pheromonal signaling and chemoreception leads to successful mate finding in farmed insects can help us to select for traits that may lead to increased mating and, in turn, increased yield. Selecting for high expression rates of Tmol/Orco could be a possible avenue for further research.","1"
"May want to explore if farmed mealworms can be supplemented on plastics as carbon source to reduce feed costs. May be a positive step for companies looking to become certified B corporations by lowering carbon footprint. Mealworms could also be farmed for creating plastic bioreactors as methods for recycling or rented to facilities looking to lower plastic volume.","1"
"BSF larval frass a good possible replcement for fishmeal in Tilapia up to 30%. This shows that good quality frass can be a feed material within aquaculture","1"
"Rearing temperatures can also affect adult health. ","1"
"More research like this needs to be conducted for other insect species that we consider to be within the booming industry of insects as food & feed. Understanding the nutritional profiles of these insects can help companies determine the best routes for their products.","1"
"This study found that using mealworm diet up to 26% in the diet of Nile tilaphia was suitable, and did not negatively impact them. This was, however, the highest inclusion level they looked at, so more research could be conducted to determine if this can be an even higher inlcusion.","1"
"This paper is highly relevant to insect growers as it explores the use of microbial supplements to optimize the growth and production of black soldier fly larvae. Black soldier fly larvae are widely used in the insect farming industry as a source of protein and fat for animal feed, and their ability to efficiently convert organic waste into biomass makes them a promising solution for sustainable waste management. The study provides valuable insights into the potential benefits and limitations of using specific types of microbes as supplements in the diets of black soldier fly larvae, and highlights the importance of evaluating targeted microbes prior to implementation. The findings can help insect growers to make informed decisions about the use of microbial supplements to optimize larval growth and waste conversion, and to develop more effective and sustainable insect rearing practices. Furthermore, the study demonstrates that benchtop and industrial scale results can differ, emphasizing the need for insect growers to conduct trials at scale relevant to their operation. By adopting the approaches and insights provided in this paper, insect growers can potentially improve the efficiency and profitability of their operations while contributing to a more sustainable food system.","1"
"This artical that focuses heavily on Tenebrio molitor, provides an overview of what we know to date with regard to the innate immune defense of insects. Having a fundamental understanding of the immunological molecular machinery and mechanisms of insects will help shape novel desease treatment techneques in large scale commercial rearing facilities.","1"
"When looking to use chitin or chitosan, we must determine the impact of different diet components on the yield and acetylation degree.","1"
"Similar research into thermal buffer effects and microclimates in temperature trials can be done to help investigate how other factors than air temperature can impact CTmax estimations.","1"
"For insect producers, comprehending the intricate symbiotic relationship between insects and microorganisms is vital. Understanding how specific microorganisms enhance insect nutrition, immunity, and protection against pathogens could pave the way for innovative approaches in insect rearing. By manipulating the insect microbiota, producers might develop strategies to bolster insect health, augment their nutritional profile, and improve their resilience against pests and diseases. This knowledge holds promise for optimizing insect production processes and ensuring the quality and quantity of insect-based products for various applications.","1"
"There are still many gaps in knowledge when it comes to safety information within the industry that needs to be addressed to continue the authorization of these insects being used globally.","1"
"The gut microbiome of honeybees plays a crucial role in their growth, hormonal signaling, and behavior. Understanding the compartmentalization of the microbial components in different gut compartments and their interactions with the host can provide insights into improving honeybee health and productivity. This study highlights the importance of considering the physico-chemical conditions of the gut in the management of honeybee microbiome and provides a foundation for further research on compartmentalization and functional interactions within the honeybee gut microbiome.","1"
