"journal","paper_count"
"Frontiers in Marine Science","1"
"Behavioral Ecology","1"
"Antibiotics-basel","1"
"Current Research in Food Science","1"
"Fronteirs in Physiology","1"
"Tropical Animal Health and Production","1"
"Neuroscience & Biobehavioral Reviews","1"
"NJAS-Impact in Agricultural and Life Sciences","1"
"Proceeding of the National Academy of Sciences of the United States of America","1"
"FEMS Microbial Ecology","1"
"Integrative and Comparative Biology","1"
"Evolutionary Biology","1"
"American Society for Microbiolgy mSphere","1"
"Animal Genetics","1"
"Environmental Microbiology Reports","1"
"Genome Biology","1"
"Philosophical Transactions Royal Society London B Biological Sciences","1"
"Biological Macromolecules","1"
"Biomedical Journal","1"
"Jounal of Insects as Food and Feed","1"
"Scientific African","1"
"Frontiers in Plant Science","1"
"Tropical Agricultural Science","1"
"Protein Expression and Purification","1"
"Turkish Journal of Veterinary & Animal Sciences","1"
"Journal of Applied Animal Research","1"
"Journal of Archeological Science","1"
"Animal Bioscience","1"
"Food Additives & Contaminants: Part A","1"
"The International Journal of Biochemistry & Cell Biology","1"
"Evolution","1"
"PNAS (Proceedings of the National Academy of Sciences)","1"
"Journal of Ecological Engineering","1"
"Nature Ecology and Evolution","1"
"National Institutes of Health","1"
"Pest Management Science","1"
"The Plant Genome","1"
"Turkish Journal of Fisheries and Aquatic Sciences","1"
"nature genetics","1"
"Genes and Genomes ","1"
"FEMS Microbiology Letters","1"
"Polymers","1"
"Developmental and comparitive biology","1"
"Sociobiology","1"
"Environmental Technology & Innovation","1"
"PLoS Genetics","1"
"Biochim Biophys Acta","1"
"Journal of Asia-Pacific Entomology","1"
"Biogerontology","1"
"International Conference on Sustainable Aquatic Resources","1"
"Gut Microbes","1"
"Cell Host Microbe","1"
"BMC Research Notes","1"
"Journal of Biological Chemistry","1"
"The Royal Society of London","1"
"Nucleic Acids Research","1"
"World Journal of Microbiology and Biotechnology","1"
"Frontiers in Veterinary Science","1"
"Philosophical Transactions of the Royal Society  ","1"
"PloS One","1"
"Bulletin of entomological research","1"
"Journal of Animal Science","1"
"Scientia Agropecuaria","1"
"Animal Behaviour","1"
"American Society for Microbiology Applied and Environmental Microbiology","1"
"Evolutionary Applocations","1"
"Insect Biochemical Molecular Biology","1"
"Zoology","1"
"Malaysian Journal of Fundamental and Applied Sciences","1"
"Animal Microbe","1"
"Fish and Shellfish immunology reports","1"
"Free Radical Biology and Medicine","1"
"ASM Journals","1"
"Animal Production Science","1"
"Ciencia Rural","1"
"Current Issues in Molecular Biology","1"
"Journal of Molecular Biology","1"
"Entomologia Generalis","1"
"Neuroscience and Biobehavioral Reviews","1"
"international Journal of Molecular Sciences ","1"
"Journal of Neurobiology","1"
"Behavioral Ecology and Sociobiology","1"
"International Journal of Biological Macromolecules","1"
"Microbial Genomics","1"
"Journal of Biotechnology","1"
"BMC Ecology and Evolution","1"
"Agriculture","1"
"Journal of Crop Health","1"
"General and Comparative Endocrinology","1"
"STAR Protocols Cell Press","1"
"Czech Journal of Animal Science","1"
"Ecology","1"
"Journal of Agricultural and Food Chemistry","1"
"Italian Journal of Pediatrics","1"
"Applied Microbiology and Biotechnology","1"
"Journal of Food Science and Technology-Mysore","1"
"Resources Conservation and Recycling","1"
"Functional and Integrated Genomics","1"
"GMO","1"
"ISME Journal","1"
"Journal of the Science of Food and Agriculture","1"
"Bioinformatics","1"
"Journal of Applies Entomology","1"
"G3: Genes, Genomes, Genetics","1"
"Journal of Elementology","1"
"Plant Physiology","1"
"Annual Review of Entomology","1"
"Entomological Society of America","1"
"Proceedings of the National Academy of Sciences (PNAS)","1"
"Evolution Letters","1"
"Frontiers in Sustainable Food Systems","1"
"Aquaculture International","1"
"Proceedings of the National Academy of Sciences of the United States of America","1"
"Frontiers in Ecology and the Environment ","1"
"Journal of Photochemistry and Photobiology B: Biology","1"
"Sustainable Chemistry and Pharmacy","1"
"International Journal of Life Science and Pharma Research","1"
"Heredity","1"
"Conservation genetics","1"
"Communications Biology","1"
"Computers and Electronics in Agriculture","1"
"Molecular Biology and Evolution","1"
"Sains Malaysiana","1"
"Biotechnology and Biofuels","1"
"VETERINARY PATHOLOGY","1"
"Journal of Comparitive Physiology A-Sensory Neural and Behavioral Physiology","1"
"International Microbiology","1"
"Journal of Experimental Zoology","1"
"Journal of Hazardous Materials","1"
"Behavioral Processes","1"
"ENVIRONMENTAL POLLUTION","1"
"Biological Reviews","1"
"Jounal of insect physiology","1"
"Cell Chemical Biology","1"
"Cellular and Molecular Life Sciences","1"
"Fermentation - Basel","1"
"FEMS Microbiology Reviews","1"
"BMC Gemonics","1"
"bioRxiv","1"
"Royal Society Open Science","1"
"PLOSONE","1"
"Agronomy","1"
"Scientirif Reports","1"
"Saudi Journal of Biological Sciences","1"
"NJAS - impact in agricultural and life sciences","1"
"BMC Veterinary Research","1"
"NPJ Science of Food","1"
"Waste Management & Research: The Journal for a Sustainable Circular Economy","1"
"epigenomes","1"
"Population Ecology","1"
"Probiotics and Antimicrobial Proteins","1"
"Fly","1"
"Frontiers in Bioengineering and Biotechnology","1"
"Future Foods","1"
"Polish Journal of Environmental Studies","1"
"Biofilms and Microbiomes","1"
"Food Chemistry","1"
"Cell Host and Microbe Previews","1"
"Biochemical society transactions","1"
"Journal of Biological Rhythms","1"
"Natural Product Reports","1"
"Molecular Ecology Wiley","1"
"Turkish Journal of Entomology","1"
"Clinical Infectious Disease","1"
"Nature Communications ","1"
"life","1"
"Nutrients","1"
"Environmental Science and Ecotechnology","1"
"New Biotechnology","1"
"Applied Entomology and Zoology","1"
"Isects","1"
"BMC Biology","1"
"BioRxiv","1"
"Parasites and Vectors","1"
"Scientific Reports Nature Research","1"
"Fronteirs_Microbiology","1"
"Proceedings of the National Academy of Sciences of the Uinited States of America","1"
"Evolutionary Applications","1"
"Frontiers in Immunology","1"
"Genes and Genomics","1"
"Pesticide Biochemistry and Physiology","1"
"Animal","1"
"Zoological Research","1"
"Journal of Soil Science and Plant Nutrition","1"
"Journal of structural biology","1"
"Annual Review of Entomol","1"
"HHS Public Access","1"
"European Journal of Entomology","1"
"Current Opinion In Insect Science ","1"
"Transgenic Research","1"
